TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),percent,penalized_log2FC,odds_ratio,fisher_p_value,fisher_adj_pvalue,chi2_p_value,chi2_adj_pvalue
PAX6,13776,633,2.588855668,0.118956565,21.76303318,4.443807738,4.443807738,2.707812233,12.03299695,21.76303317535545,0.0,0.0,0.0,0.0
AHCTF1,23446,5238,4.406091027,0.98435148,4.47613593,2.162253848,2.162253848,5.390442507,11.65550505,4.476135929744177,0.0,0.0,0.0,0.0
ZBTB44,12981,541,2.439455243,0.101667459,23.99445471,4.584629122,4.584629122,2.541122702,11.65010514,23.994454713493532,0.0,0.0,0.0,0.0
CEBPA,25781,6980,4.844896049,1.31171694,3.693553009,1.885009283,1.885009283,6.156612989,11.60527264,3.6935530085959885,0.0,0.0,0.0,0.0
FOXN4,14936,1032,2.806848741,0.193938665,14.47286822,3.855278957,3.855278957,3.000787406,11.56887254,14.472868217054264,0.0,0.0,0.0,0.0
MXD1-MAX,24590,6159,4.621077299,1.157430463,3.992531255,1.997303702,1.997303702,5.778507762,11.54143494,3.992531255073876,0.0,0.0,0.0,0.0
DMRT3,23254,5529,4.370009415,1.039037673,4.205823838,2.072388424,2.072388424,5.409047088,11.20964657,4.2058238379453785,0.0,0.0,0.0,0.0
PAX3,26544,8054,4.988282872,1.513548457,3.295753663,1.720608414,1.720608414,6.50183133,11.18710569,3.29575366277626,0.0,0.0,0.0,0.0
ZBTB3,19462,3365,3.657397576,0.632367837,5.783655275,2.531981565,2.531981565,4.289765413,10.86160695,5.783655274888559,0.0,0.0,0.0,0.0
CEBPB,24408,6897,4.586874938,1.29611916,3.53892997,1.823313213,1.823313213,5.882994097,10.72654087,3.538929969551979,0.0,0.0,0.0,0.0
FOXP1,11583,434,2.176736005,0.081559477,26.68894009,4.738170107,4.738170107,2.258295482,10.70018815,26.6889400921659,0.0,0.0,0.0,0.0
PGR,19417,3509,3.648940948,0.659429046,5.533485323,2.468188463,2.468188463,4.308369994,10.63386912,5.533485323453975,0.0,0.0,0.0,0.0
HLX,20621,4355,3.875202724,0.818413649,4.735017222,2.243369673,2.243369673,4.693616374,10.52951663,4.7350172215843855,0.0,0.0,0.0,0.0
HOXC5,18604,3335,3.496157872,0.626730085,5.578410795,2.479854178,2.479854178,4.122887957,10.22416093,5.578410794602699,0.0,0.0,0.0,0.0
LCOR,61289,42648,11.51773919,8.014628087,1.437089664,0.523150079,0.523150079,19.53236727,10.21835947,1.4370896642280997,0.0,0.0,0.0,0.0
PAX4,32529,14962,6.113014374,2.811734793,2.17410774,1.120423436,1.120423436,8.924749167,9.999498127,2.1741077396070043,0.0,0.0,0.0,0.0
HOXC6,14201,1455,2.66872382,0.273430967,9.760137457,3.286901466,3.286901466,2.942154786,9.670572881,9.760137457044674,0.0,0.0,0.0,0.0
TLX2,19114,4384,3.591999654,0.823863476,4.359945255,2.12431002,2.12431002,4.41586313,9.380662296,4.359945255474453,0.0,0.0,0.0,0.0
POU2F1,25382,9487,4.769913949,1.782845073,2.675450617,1.4197819,1.4197819,6.552759022,9.303488654,2.6754506166332876,0.0,0.0,0.0,0.0
TBR1,21572,6582,4.053919459,1.236922765,3.277423276,1.712562007,1.712562007,5.290842224,9.060895379,3.2774232756001216,0.0,0.0,0.0,0.0
VENTX,11992,914,2.253597356,0.171763508,13.12035011,3.713734313,3.713734313,2.425360863,9.007145858,13.120350109409191,0.0,0.0,0.0,0.0
WT1,9290,293,1.745823835,0.055062043,31.70648464,4.986706027,4.986706027,1.800885879,8.980488465,31.706484641638227,0.0,0.0,0.0,0.0
HEYL,13705,1676,2.575512988,0.314962406,8.177207637,3.031608274,3.031608274,2.890475394,8.76278912,8.177207637231504,0.0,0.0,0.0,0.0
TBX20,14317,1980,2.690523127,0.372091625,7.230808081,2.854156885,2.854156885,3.062614752,8.74118298,7.230808080808081,0.0,0.0,0.0,0.0
OVOL2,21684,7082,4.074967066,1.330885296,3.061846936,1.614402163,1.614402163,5.405852362,8.727219748,3.0618469358938154,0.0,0.0,0.0,0.0
SETBP1,13664,1756,2.567808061,0.329996411,7.781321185,2.96001513,2.96001513,2.897804471,8.57754508,7.781321184510251,0.0,0.0,0.0,0.0
ZSCAN29,12018,1085,2.258483407,0.203898693,11.0764977,3.469429879,3.469429879,2.462382101,8.543062034,11.076497695852535,0.0,0.0,0.0,0.0
SHOX,24366,9723,4.578982085,1.827195388,2.506016662,1.325396007,1.325396007,6.406177473,8.49072204,2.506016661524221,0.0,0.0,0.0,0.0
LIN54,42297,27530,7.94866639,5.173576984,1.536396658,0.619550731,0.619550731,13.12224337,8.129895475,1.5363966581910642,0.0,0.0,0.0,0.0
MLX,25419,11314,4.776867176,2.126184163,2.246685522,1.167798199,1.167798199,6.903051339,8.06137092,2.246685522361676,0.0,0.0,0.0,0.0
