TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),percent,penalized_log2FC
IRF2,18422,13656,3.461955511,2.56630466,1.349004101,0.431894734,0.431894734,6.028260171,2.603573822
CREBZF,2285,39,0.429408769,0.007329077,58.58974359,5.872576231,5.872576231,0.436737846,2.564776296
ZFP959,5758,1747,1.082072513,0.328305085,3.29593589,1.720688181,1.720688181,1.410377598,2.426820063
ZHX1,2468,85,0.463799055,0.01597363,29.03529412,4.859735743,4.859735743,0.479772686,2.33156847
EGR1,7979,3877,1.499454078,0.728585469,2.058034563,1.041267211,1.041267211,2.228039547,2.319984525
GMEB1,5120,1380,0.962176323,0.259336587,3.710144928,1.891475543,1.891475543,1.22151291,2.310461794
TIGD1,3633,511,0.682731754,0.096029707,7.109589041,2.829766169,2.829766169,0.778761461,2.203712837
FOXA2,3903,687,0.733471521,0.129104518,5.681222707,2.506201459,2.506201459,0.862576039,2.161789328
EGR2,12922,9166,2.428367664,1.722521127,1.409775256,0.495465189,0.495465189,4.150888792,2.056620901
DMRT2,1956,71,0.367581423,0.013342679,27.54929577,4.783943535,4.783943535,0.380924103,1.822319399
KLF12,3129,541,0.588017522,0.101667459,5.783733826,2.532001159,2.532001159,0.689684981,1.746283172
MYRF,2130,134,0.400280384,0.025181958,15.89552239,3.990548525,3.990548525,0.425462343,1.697828124
KDM2A,2995,585,0.562835564,0.109936162,5.11965812,2.356047473,2.356047473,0.672771726,1.585082124
SEBOX,2162,179,0.406293986,0.033638586,12.07821229,3.59433503,3.59433503,0.439932572,1.581265056
HES4,3384,869,0.635938413,0.16330688,3.894131185,1.961301486,1.961301486,0.799245293,1.567560981
PITX2,31321,28478,5.886000898,5.351729944,1.099831449,0.137282445,0.137282445,11.23773084,1.542743167
ELF3,9461,6734,1.777959021,1.265487374,1.404959905,0.490528959,0.490528959,3.043446395,1.492898592
CXXC4,17689,15070,3.324206439,2.832030699,1.173788985,0.231173075,0.231173075,6.156237139,1.423156267
TIGD6,2818,614,0.529572828,0.115385989,4.589576547,2.198361051,2.198361051,0.644958816,1.417852341
MNT,1193,16,0.2241946,0.003006801,74.5625,6.220378328,6.220378328,0.227201401,1.413278672
RUNX3,2676,542,0.502887469,0.101855384,4.937269373,2.303713359,2.303713359,0.604742853,1.393154189
ETS1,9776,7646,1.837155416,1.436875032,1.278577034,0.354539085,0.354539085,3.274030448,1.160771759
TERF2,1819,249,0.34183569,0.046793341,7.305220884,2.868927896,2.868927896,0.38862903,1.114948666
E2F2,1922,319,0.361191971,0.059948095,6.02507837,2.590980007,2.590980007,0.421140066,1.091165492
ELF4,23933,21950,4.497610533,4.124955133,1.090341686,0.12478031,0.12478031,8.622565666,1.075926418
PAXIP1,1686,211,0.316841656,0.039652188,7.990521327,2.998289632,2.998289632,0.356493845,1.068871798
TFAP2A,2333,638,0.438429172,0.11989619,3.656739812,1.870557978,1.870557978,0.558325362,1.044379961
HMG20B,20744,18830,3.898317507,3.538628936,1.101646309,0.139661111,0.139661111,7.436946443,1.038652205
CRAMP1L,1154,56,0.216865523,0.010523804,20.60714286,4.365072587,4.365072587,0.227389326,0.992570914
TBX10,1663,277,0.31251938,0.052055242,6.003610108,2.585830287,2.585830287,0.364574622,0.9427281
THAP11,1424,161,0.26760529,0.030255935,8.844720497,3.144816553,3.144816553,0.297861225,0.93671891
GCN4,10475,8785,1.968515035,1.650921678,1.192373364,0.253836053,0.253836053,3.619436713,0.918743528
TFAP4,2202,825,0.413810989,0.155038177,2.669090909,1.416348444,1.416348444,0.568849166,0.805688631
KDM2B,6328,4904,1.189189799,0.921584509,1.290375204,0.367790621,0.367790621,2.110774308,0.776322993
ARID5B,1173,137,0.220436099,0.025745734,8.562043796,3.097955215,3.097955215,0.246181833,0.762660292
FOXA1,1798,671,0.337889263,0.126097717,2.679582712,1.422008349,1.422008349,0.463986981,0.65979336
NR1H4,23976,22915,4.505691311,4.306302819,1.046301549,0.065298703,0.065298703,8.811994129,0.57541179
POGK,1681,799,0.315902031,0.150152125,2.10387985,1.073052316,1.073052316,0.466054156,0.500100492
DUXA,13385,12481,2.515376968,2.345492711,1.072430094,0.100883609,0.100883609,4.86086968,0.490382075
ZBTB1,1075,355,0.202019443,0.066713397,3.028169014,1.59844573,1.59844573,0.26873284,0.429554861
HMGA2,582,49,0.109372387,0.009208328,11.87755102,3.570165499,3.570165499,0.118580715,0.423352777
NFIL3,324,3,0.06088772,0.000563775,108,6.754887502,6.754887502,0.061451496,0.41509794
NFATC4,3446,2694,0.647589767,0.50627012,1.279138827,0.355172851,0.355172851,1.153859887,0.409819705
PBX4,6672,5962,1.25383602,1.120409226,1.119087555,0.162322913,0.162322913,2.374245246,0.385394406
MAFF,1653,962,0.310640129,0.180783911,1.718295218,0.780977926,0.780977926,0.49142404,0.383791327
CEBPG,726,149,0.136433596,0.028000834,4.872483221,2.284657218,2.284657218,0.16443443,0.375676308
MYC,377,11,0.070847749,0.002067176,34.27272727,5.098989095,5.098989095,0.072914924,0.371792405
TEAD3,1122,478,0.210851921,0.08982818,2.347280335,1.230990153,1.230990153,0.300680101,0.370134243
EP300,1867,1207,0.350856093,0.226825551,1.546810273,0.629296251,0.629296251,0.577681644,0.363532893
SOHLH2,1981,1330,0.37227955,0.249940334,1.489473684,0.574802635,0.574802635,0.622219884,0.357653628
PAX7,660,126,0.124030542,0.023678558,5.238095238,2.389042291,2.389042291,0.1477091,0.352883285
HMG20A,275,5,0.051679392,0.000939625,55,5.781359714,5.781359714,0.052619018,0.304209469
NFIC,925,431,0.173830683,0.080995702,2.146171694,1.101765496,1.101765496,0.254826385,0.280758919
CEBPD,273,13,0.051303542,0.002443026,21,4.392317423,4.392317423,0.053746568,0.236071987
MXI1,431,83,0.080995702,0.01559778,5.192771084,2.376504628,2.376504628,0.096593482,0.229554858
ATF4,793,393,0.149024575,0.07385455,2.017811705,1.012791553,1.012791553,0.222879125,0.225730095
MTF2,930,530,0.174770309,0.099600283,1.754716981,0.811238357,0.811238357,0.274370592,0.222579948
MAFK,1765,1358,0.331687736,0.255202236,1.299705449,0.378184704,0.378184704,0.586889972,0.22195281
E4F1,334,40,0.062766971,0.007517003,8.35,3.061776198,3.061776198,0.070283974,0.215193797
CTCF,3799,3415,0.713927314,0.64176409,1.112445095,0.153734133,0.153734133,1.355691404,0.208416043
ZNF652,221,10,0.041531439,0.001879251,22.1,4.465974465,4.465974465,0.04341069,0.193871031
IRF1,833,490,0.156541577,0.092083281,1.7,0.765534746,0.765534746,0.248624858,0.190330968
RARG,10945,10614,2.056839815,1.994636619,1.031185227,0.044303501,0.044303501,4.051476433,0.179494589
